Class ID,Preferred Label,Synonyms
http://purl.obolibrary.org/obo/HP_0002626,Venous varicosities of celiac and mesenteric vessels,
http://purl.obolibrary.org/obo/HP_0008585,HP_0008585,
http://purl.obolibrary.org/obo/HP_0025610,Posterior blepharitis,Meibomian gland dysfunction|Meibomian gland disease
http://purl.obolibrary.org/obo/HP_0011138,Abnormality of skin adnexa morphology,Abnormal skin appendage
http://purl.obolibrary.org/obo/HP_0001563,Fetal polyuria,
http://purl.obolibrary.org/obo/HP_0004456,HP_0004456,
http://purl.obolibrary.org/obo/HP_0031857,Ineffective esophageal peristalsis,
http://purl.obolibrary.org/obo/HP_0000399,Prelingual sensorineural hearing impairment,"Prelingual sensorineural deafness|Deafness, sensorineural, prelingual"
http://purl.obolibrary.org/obo/HP_0002366,,Lower motor neuron signs|Lower motor neuron manifestations|Lower motor neuron disease
http://purl.obolibrary.org/obo/HP_0003965,Pseudarthrosis of the forearm bones,
http://purl.obolibrary.org/obo/HP_0006210,Postaxial oligodactyly,
http://purl.obolibrary.org/obo/HP_0002153,Hyperkalemia,Elevated serum potassium levels
http://purl.obolibrary.org/obo/HP_0010387,Osteolytic defects of the phalanges of the 5th toe,
http://purl.obolibrary.org/obo/HP_3000033,Abnormality of nasopharyngeal adenoids,Abnormality of nasopharyngeal tonsil|Abnormality of adenoids|Abnormality of pharyngeal tonsil
http://purl.obolibrary.org/obo/HP_0000836,Hyperthyroidism,Overactive thyroid
http://purl.obolibrary.org/obo/HP_0004716,HP_0004716,
http://purl.obolibrary.org/obo/HP_0007782,obsolete Peripheral retinal cone degeneration,
http://purl.obolibrary.org/obo/HP_0009918,Ectopia pupillae,Displaced pupil|Corectopia
http://purl.obolibrary.org/obo/HP_0030305,Decreased number of vertebrae,
http://purl.obolibrary.org/obo/HP_0010182,Abnormality of the distal phalanges of the toes,Abnormality of the outermost bone of the toes
http://purl.obolibrary.org/obo/HP_0011994,Abnormal atrial septum morphology,Abnormal interatrial septum morphology|Abnormality of the atrial septum
http://purl.obolibrary.org/obo/HP_0005656,Positional foot deformity,
http://purl.obolibrary.org/obo/HP_0008640,Congenital macroorchidism,
http://purl.obolibrary.org/obo/HP_0001599,HP_0001599,
